Epoch,Train Loss,Train Acc (%),Eval Loss,Eval Acc (%)
1,0.16895382946005386,95.96822132694733,0.03372540399955617,99.27996735074626
2,0.023186261080917193,99.50688608776844,0.019095266944396595,99.5773087686567
3,0.01396389260202108,99.70165149393091,0.013269577072286896,99.74347014925374
4,0.008911453442093613,99.8001283846872,0.014319616215058222,99.68516791044776
5,0.009930455398412717,99.79575163398692,0.012519435755393715,99.72889458955224
6,0.004114453985269848,99.90735877684406,0.012843169055182483,99.8017723880597
7,0.0035088308145226495,99.91465336134453,0.013460835036169813,99.81343283582089
8,0.003842027897722541,99.90735877684406,0.013559094296003996,99.77845149253731
9,0.002741331036042494,99.93945494864612,0.013764672292370208,99.8017723880597
10,0.0015281119043691663,99.96060924369748,0.017838859942604625,99.77553638059702
